"Kerncijfers wijken en buurten 2018"
""
"";"Topic"
"";"Regioaanduiding|Soort regio";"Regioaanduiding|Indelingswijziging wijken en buurten";"Bevolking|Aantal inwoners";"Bevolking|Geslacht|Mannen";"Bevolking|Geslacht|Vrouwen";"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"Bevolking|Bevolkingsdichtheid";"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"Postcode|Meest voorkomende postcode";"Postcode|Dekkingspercentage"
"Districts and neighborhoods";"Description";"code";"number";"number";"number";"number";"number";"number";"number";"number";"number of inhabitants per km²";"number";"x 1,000 euros";"x 1,000 euros";"%";"%";"%";"%";"%";"%";"%";"code";"code"
"Amsterdam";"Township";".";"854047";"423114";"430933";"126007";"109354";"304288";"208818";"105580";"5160";"672500";"36.4";"29.6";"39.8";"23.8";"62.8";"51.8";"16.9";"13.7";"13.0";".";"."
"Burgwallen-Oude Zijde";"Neighbourhood";"1";"4305";"2395";"1910";"235";"650";"2120";"930";"380";"12323";"3700";"35.1";"31.7";"38.2";"24.4";"72.7";"59.2";"11.9";"15.0";"14.3";".";"."
"Kop Zeedijk";"Neighborhood";"1";"1030";"605";"425";"50";"130";"540";"250";"70";"16999";"900";".";".";"31.4";"27.1";"78.0";"54.9";"11.6";"13.1";"12.1";"1012";"1"
"Old Church and surroundings";"Neighborhood";"1";"690";"390";"295";"25";"115";"365";"135";"60";"7819";"600";".";".";"42.0";"22.8";"72.7";"63.4";"12.4";"18.5";"17.2";"1012";"1"
"Burgwallen East";"Neighborhood";"1";"1590";"860";"730";"105";"250";"760";"320";"160";"25530";"1300";".";".";"41.4";"20.9";"70.7";"62.1";"9.9";"15.3";"15.3";"1012";"1"
"Nes eo";"Neighborhood";"1";"360";"185";"175";"20";"70";"190";"65";"25";"6752";"300";".";".";"33.7";"32.7";"74.5";"53.6";"16.4";"9.5";"8.0";"1012";"1"
"BG terrain and surroundings";"Neighborhood";"1";"630";"345";"280";"40";"95";"275";"160";"70";"7464";"500";".";".";"40.2";"26.1";"67.5";"57.9";"14.2";"16.5";"15.9";"1012";"1"
"Burgwallen-Nieuwe Zijde";"Neighbourhood";"1";"3930";"2150";"1775";"220";"525";"2125";"765";"310";"6881";"3400";"38.9";"34.8";"33.9";"27.6";"75.4";"56.8";"13.4";"12.9";"11.5";".";"."
"Stationsplein and surroundings";"Neighborhood";"1";"5";"0";"0";"0";"5";"5";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1012";"1"
"Hemelrijk";"Neighborhood";"1";"535";"295";"240";"15";"65";"315";"115";"40";"9736";"500";".";".";"30.5";"29.4";"76.8";"53.0";"12.8";"11.8";"10.4";"1012";"1"
"Nieuwendijk North";"Neighborhood";"1";"450";"275";"175";"25";"75";"250";"90";"25";"8207";"400";".";".";"36.7";"26.8";"74.2";"61.3";"14.1";"15.1";"13.5";"1012";"1"
"Spuistraat North";"Neighborhood";"1";"795";"440";"355";"45";"105";"445";"145";"70";"15858";"700";".";".";"35.5";"26.4";"76.6";"57.4";"13.7";"12.3";"11.4";"1012";"1"
"New Church and surroundings";"Neighborhood";"1";"805";"450";"355";"55";"110";"475";"135";"40";"9571";"700";".";".";"32.2";"28.0";"80.4";"50.2";"13.2";"10.4";"8.2";"1012";"1"
"Spuistraat South";"Neighborhood";"1";"650";"355";"295";"60";"85";"300";"160";"60";"10962";"500";".";".";"37.4";"28.2";"70.9";"60.7";"14.5";"16.1";"15.3";"1012";"1"
"Beguinage area";"Neighborhood";"1";"420";"175";"240";"10";"50";"220";"80";"70";"5990";"400";".";".";"32.6";"22.9";"69.3";"66.8";"9.4";"13.9";"12.8";"1012";"1"
"Calf triangle";"Neighborhood";"1";"250";"150";"100";"15";"45";"130";"50";"20";"4805";"200";".";".";"31.7";"33.5";"76.3";"47.1";"18.8";"11.3";"9.2";"1012";"1"
"Grachtengordel-West";"Neighbourhood";"1";"6385";"3375";"3005";"510";"840";"2180";"1780";"1085";"14261";"5200";"68.3";"57.9";"30.2";"41.3";"65.4";"39.6";"31.2";"9.2";"7.8";".";"."
"Langestraat and surroundings";"Neighborhood";"1";"1860";"975";"885";"165";"205";"585";"525";"385";"19155";"1500";".";".";"31.0";"39.9";"63.7";"37.1";"32.1";"8.3";"6.4";"1015";"1"
"Leliegracht and surroundings";"Neighborhood";"1";"1755";"925";"825";"150";"300";"600";"460";"260";"12909";"1300";".";".";"30.4";"41.7";"64.8";"39.1";"31.6";"9.3";"7.7";"1015";"4"
"Felix Meritisbuurt";"Neighborhood";"1";"2085";"1095";"990";"150";"260";"750";"610";"330";"12957";"1,700";".";".";"28.6";"42.4";"67.7";"41.5";"29.6";"10.0";"9.2";"1016";"1"
